Year,Week,District,Stations,Cases
2019,24,ACHHAM,Mangalsen,
2019,24,ARGHAKHANCHI,No station found in dataset,
2019,24,BAGLUNG,Baglung,
2019,24,BAITADI,Patan new,
2019,24,BAJHANG,Chainpur Bajhang new aws,
2019,24,BAJURA,Bajura (Martadi),
2019,24,BANKE,Khajura (Nepalganj),1.0
2019,24,BARA,Simara Airport,
2019,24,BARDIYA,Gulariya,
2019,24,BHAKTAPUR,Bhaktapur,
2019,24,BHOJPUR,No station found in dataset,
2019,24,CHITAWAN,No station found in dataset,
2019,24,DADELDHURA,"Dadeldhura, Dadeldhura_AWS",
2019,24,DAILEKH,Dailekh,
2019,24,DANG,Ghorai (Dang),
2019,24,DARCHULA,"Darchula New, Mahakali at Darchula (Dattu)",
2019,24,DHADING,"Dhunibesi, Dhunibesi_delete",
2019,24,DHANKUTA,No station found in dataset,
2019,24,DHANUSA,No station found in dataset,
2019,24,DOLAKHA,Charikot,
2019,24,DOLPA,Dunai,
2019,24,DOTI,Dipayal (Doti),
2019,24,EAST,No station found in dataset,
2019,24,EAST,No station found in dataset,
2019,24,GORKHA,No station found in dataset,
2019,24,GULMI,Tamghas,
2019,24,HUMLA,"Simikot, Simikot Airport",
2019,24,ILAM,"Ilam Tea Estate, Ilam Tea State_AWS",
2019,24,JAJARKOT,"Jajarkot, Jajarkot_AWS",
2019,24,JHAPA,Gaida (Kankai),
2019,24,JUMLA,Jumla,
2019,24,KAILALI,Tikapur,
2019,24,KALIKOT,"Manma, Manma_AWS",
2019,24,KANCHANPUR,Mahendra Nagar,
2019,24,KAPILBASTU,No station found in dataset,
2019,24,KASKI,Pokhara Airport,
2019,24,KATHMANDU,"Bagmati River at Sundarijal, Bagmati River at Sundarijal Bridge, Kathmandu Airport",1.0
2019,24,KAVREPALANCHOK,No station found in dataset,
2019,24,KHOTANG,Diktel,
2019,24,LALITPUR,Khumaltar,
2019,24,LAMJUNG,Khudi Bazar,
2019,24,MAHOTTARI,Jalesor,
2019,24,MAKWANPUR,Hetauda N.F.I.,
2019,24,MANANG,Manang Bhot,
2019,24,MORANG,Biratnagar Airport,
2019,24,MUGU,Gamadi Shree Nagar,
2019,24,MUSTANG,"Jomsom, Jomsom TPB",
2019,24,MYAGDI,"Gurja Khani, Raughat Khola at Raughat",
2019,24,NUWAKOT,Nuwakot,
2019,24,OKHALDHUNGA,Okhaldhunga,
2019,24,PALPA,Tansen,
2019,24,PANCHTHAR,Phidim (Panchther),
2019,24,PARBAT,"Kali Gandaki at Modi Beni, Kushma",
2019,24,PARSA,Birganj,
2019,24,PYUTHAN,"Bijuwar Tar, Bijuwatar",
2019,24,RAMECHHAP,Manthali,
2019,24,RASUWA,Dhunche,
